Latitude,Longitude,region,river_distance
12.5,78.2,train,98652.53603
12.5,78.3,train,104138.4549
12.5,78.4,train,111468.9128
12.6,75,train,67710.65917
12.6,75.1,train,234246.4676
12.6,75.2,train,49962.64472
12.6,75.3,train,99066.70546
12.6,75.4,train,20911.23118
12.6,75.5,train,66651.62795
12.6,75.6,train,41071.1445
12.6,75.7,train,62134.20574
12.6,75.8,train,103258.906
12.6,75.9,train,63828.72865
12.6,76,train,117829.7244
12.6,76.1,train,110288.5416
12.6,76.2,train,121568.7452
12.6,76.3,train,96032.13395
12.6,76.4,train,61858.58318
12.6,76.5,train,108769.199
12.6,76.6,train,117341.9698
12.6,76.7,train,148053.0604
12.6,76.8,train,151496.5683
12.6,76.9,train,128299.3837
12.6,77,train,128382.3128
12.6,77.1,train,80514.43435
12.6,77.2,train,76997.21376
12.6,77.3,train,196072.2297
12.6,77.4,train,189184.1772
12.6,77.5,train,238914.087
12.6,77.6,train,248770.0057
12.6,77.7,train,40992.82536
12.6,77.8,train,223184.371
12.6,77.9,train,192919.6165
12.6,78,train,65931.77509
12.6,78.1,train,175384.7761
12.6,78.2,train,212716.3308
12.6,78.3,train,176924.3584
12.6,78.4,train,101715.2312
12.7,75,train,69478.08879
12.7,75.1,train,35600.51291
12.7,75.2,train,29487.90098
12.7,75.3,train,89269.41317
12.7,75.4,train,136430.1537
12.7,75.5,train,74384.05868
12.7,75.6,train,132297.6449
12.7,75.7,train,292909.2553
12.7,75.8,train,73197.10039
12.7,75.9,train,120176.886
12.7,76,train,95604.28029
12.7,76.1,train,112102.6744
12.7,76.2,train,99235.78216
12.7,76.3,train,189335.0712
12.7,76.4,train,126993.3176
12.7,76.5,train,127286.9813
12.7,76.6,train,41414.07276
12.7,76.7,train,149067.7336
12.7,76.8,train,96338.95591
12.7,76.9,train,58215.02373
12.7,77,train,98723.19661
12.7,77.1,train,183211.7702
12.7,77.2,train,196044.5717
12.7,77.3,train,192291.6746
12.7,77.4,train,195798.4883
12.7,77.5,train,164888.9035
12.7,77.6,train,168713.2892
12.7,77.7,train,238235.0768
12.7,77.8,train,249994.1436
12.7,77.9,train,212818.5744
12.7,78,train,249396.2904
12.7,78.1,train,265902.6251
12.7,78.2,train,65996.97969
12.7,78.3,train,290202.357
12.7,78.4,train,169802.7389
12.8,75,train,238500.2271
12.8,75.1,train,138471.427
12.8,75.2,train,37448.08234
12.8,75.3,train,150909.2505
12.8,75.4,train,95384.04509
12.8,75.5,train,79473.22343
12.8,75.6,train,123946.1466
12.8,75.7,train,67014.07113
12.8,75.8,train,73897.61926
12.8,75.9,train,307412.8977
12.8,76,train,112850.6579
12.8,76.1,train,114327.1605
12.8,76.2,train,77714.9952
12.8,76.3,train,118589.0259
12.8,76.4,train,70094.68867
12.8,76.5,train,123214.6622
12.8,76.6,train,136731.6249
12.8,76.7,train,130233.905
12.8,76.8,train,242884.9767
12.8,76.9,train,86481.01497
12.8,77,train,190523.2484
12.8,77.1,train,44472.46673
12.8,77.2,train,188837.7798
12.8,77.3,train,200678.0723
12.8,77.4,train,223611.8954
12.8,77.5,train,183051.2146
12.8,77.6,train,154741.8835
12.8,77.7,train,216965.3228
12.8,77.8,train,201679.2854
12.8,77.9,train,225599.5441
12.8,78,train,257185.0245
12.8,78.1,train,244635.3763
12.8,78.2,train,296648.4824
12.8,78.3,train,89690.88637
12.8,78.4,train,296133.7686
12.9,75,train,88416.63535
12.9,75.1,train,167309.5342
12.9,75.2,train,36815.59672
12.9,75.3,train,127949.1175
12.9,75.4,train,165968.8779
12.9,75.5,train,62664.85753
12.9,75.6,train,115836.3927
12.9,75.7,train,119649.034
12.9,75.8,train,137997.9039
12.9,75.9,train,99371.19146
12.9,76,train,127836.0215
12.9,76.1,train,10769.27792
12.9,76.2,train,119159.6405
12.9,76.3,train,143083.8738
12.9,76.4,train,152061.2147
12.9,76.5,train,141310.5957
12.9,76.6,train,32410.66347
12.9,76.7,train,193866.1839
12.9,76.8,train,166532.9533
12.9,76.9,train,192318.7914
12.9,77,train,77100.83868
12.9,77.1,train,194028.5803
12.9,77.2,train,289486.9772
12.9,77.3,train,213818.7215
12.9,77.4,train,225232.693
12.9,77.5,train,198301.8939
12.9,77.6,train,241745.9976
12.9,77.7,train,234377.3602
12.9,77.8,train,37652.32001
12.9,77.9,train,23854.04606
12.9,78,train,203052.8998
12.9,78.1,train,70165.46686
12.9,78.2,train,257918.1244
12.9,78.3,train,264908.6649
12.9,78.4,train,186525.5913
13,75,train,213214.4102
13,75.1,train,102512.3735
13,75.2,train,145604.629
13,75.3,train,122960.4844
13,75.4,train,87395.95872
13,75.5,train,140328.5338
13,75.6,train,104256.901
13,75.7,train,92386.01418
13,75.8,train,123256.7088
13,75.9,train,65922.88717
13,76,train,103909.8844
13,76.1,train,148631.7015
13,76.2,train,118643.0775
13,76.3,train,142918.152
13,76.4,train,59678.22874
13,76.5,train,167265.2358
13,76.6,train,223976.6487
13,76.7,train,104144.0214
13,76.8,train,187681.9818
13,76.9,train,95922.95541
13,77,train,69703.59746
13,77.1,train,210127.6429
13,77.2,train,189688.6156
13,77.3,train,260797.2201
13,77.4,train,198420.8684
13,77.5,train,224029.2622
13,77.6,train,224792.3037
13,77.7,train,219155.4436
13,77.8,train,27993.18279
13,77.9,train,259736.2907
13,78,train,47475.4721
13,78.1,train,278981.5221
13,78.2,train,149375.7478
13,78.3,train,83051.90739
13,78.4,train,331172.5345
13.1,75,train,143145.62
13.1,75.1,train,194811.1415
13.1,75.2,train,164218.8857
13.1,75.3,train,148627.0206
13.1,75.4,train,160666.0904
13.1,75.5,train,167861.9356
13.1,75.6,train,189591.1668
13.1,75.7,train,281062.2712
13.1,75.8,train,108224.7256
13.1,75.9,train,138086.0979
13.1,76,train,143334.8847
13.1,76.1,train,140585.5377
13.1,76.2,train,269066.0163
13.1,76.3,train,214000.7407
13.1,76.4,train,163473.7271
13.1,76.5,train,154607.2816
13.1,76.6,train,178722.4128
13.1,76.7,train,108400.3125
13.1,76.8,train,184594.6277
13.1,76.9,train,326762.2654
13.1,77,train,105048.169
13.1,77.1,train,190885.0513
13.1,77.2,train,197462.2944
13.1,77.3,train,197567.7843
13.1,77.4,train,217415.0836
13.1,77.5,train,194042.6462
13.1,77.6,train,135232.4113
13.1,77.7,train,36325.12043
13.1,77.8,train,55846.50445
13.1,77.9,train,261222.1016
13.1,78,train,288457.7106
13.1,78.1,train,47274.72522
13.1,78.2,train,59131.55544
13.1,78.3,train,295756.3062
13.1,78.4,train,80106.75041
13.2,75,train,191071.0942
13.2,75.1,train,113392.1037
13.2,75.2,train,181021.3382
13.2,75.3,train,158323.132
13.2,75.4,train,200526.2605
13.2,75.5,train,162354.9245
13.2,75.6,train,152641.7666
13.2,75.7,train,158046.7161
13.2,75.8,train,113509.4383
13.2,75.9,train,73904.59557
13.2,76,train,194630.7565
13.2,76.1,train,139534.9259
13.2,76.2,train,196226.8184
13.2,76.3,train,372546.4908
13.2,76.4,train,180492.351
13.2,76.5,train,122613.7858
13.2,76.6,train,195013.1901
13.2,76.7,train,181161.5231
13.2,76.8,train,232086.4826
13.2,76.9,train,173669.1739
13.2,77,train,271376.955
13.2,77.1,train,234023.1792
13.2,77.2,train,212618.3292
13.2,77.3,train,236195.3528
13.2,77.4,train,213688.5785
13.2,77.5,train,230495.8849
13.2,77.6,train,171826.2264
13.2,77.7,train,280615.0527
13.2,77.8,train,315707.9
13.2,77.9,train,237136.7827
13.2,78,train,106204.2744
13.2,78.1,train,289155.6268
13.2,78.2,train,224279.6228
13.2,78.3,train,74721.61777
13.2,78.4,train,305169.0652
13.3,75,train,106489.0167
13.3,75.1,train,244157.6866
13.3,75.2,train,133396.1813
13.3,75.3,train,219050.1476
13.3,75.4,train,145304.9219
13.3,75.5,train,204000.3556
13.3,75.6,train,119295.8195
13.3,75.7,train,125382.1548
13.3,75.8,train,96379.14122
13.3,75.9,train,143817.6631
13.3,76,train,172058.4908
13.3,76.1,train,197759.2685
13.3,76.2,train,117519.1329
13.3,76.3,train,219510.987
13.3,76.4,train,174623.4795
13.3,76.5,train,129359.1926
13.3,76.6,train,193304.709
13.3,76.7,train,280534.1027
13.3,76.8,train,97994.05268
13.3,76.9,train,110990.6593
13.3,77,train,209854.9623
13.3,77.1,train,319155.5138
13.3,77.2,train,326419.9415
13.3,77.3,train,234158.4055
13.3,77.4,train,245395.9368
13.3,77.5,train,23626.48895
13.3,77.6,train,92432.50623
13.3,77.7,train,246031.3214
13.3,77.8,train,259483.6657
13.3,77.9,train,293094.4311
13.3,78,train,43909.4873
13.3,78.1,train,201792.7187
13.3,78.2,train,101087.5811
13.3,78.3,train,260852.7087
13.3,78.4,train,96248.38288
13.4,75,train,147845.7507
13.4,75.1,train,150061.9944
13.4,75.2,train,259270.7206
13.4,75.3,train,106996.3617
13.4,75.4,train,101578.1567
13.4,75.5,train,177655.4848
13.4,75.6,train,168362.1485
13.4,75.7,train,238411.2789
13.4,75.8,train,169495.2996
13.4,75.9,train,138085.6786
13.4,76,train,97003.97451
13.4,76.1,train,44234.73754
13.4,76.2,train,216697.3044
13.4,76.3,train,204990.6642
13.4,76.4,train,164824.2522
13.4,76.5,train,227695.2613
13.4,76.6,train,233801.3341
13.4,76.7,train,196024.5275
13.4,76.8,train,109241.6675
13.4,76.9,train,140127.1783
13.4,77,train,213422.0991
13.4,77.1,train,161367.4462
13.4,77.2,train,62413.58515
13.4,77.3,train,52666.75196
13.4,77.4,train,274107.1029
13.4,77.5,train,232163.7256
13.4,77.6,train,155510.6648
13.4,77.7,train,294718.7901
13.4,77.8,train,284007.0569
13.4,77.9,train,143329.3707
13.4,78,train,214781.9949
13.4,78.1,train,320170.6634
13.4,78.2,train,72916.66148
13.4,78.3,train,312998.5098
13.4,78.4,train,102919.036
13.5,75,train,206766.256
13.5,75.1,train,167561.5628
13.5,75.2,train,185819.0234
13.5,75.3,train,105321.9961
13.5,75.4,train,217616.5498
13.5,75.5,train,64125.39262
13.5,75.6,train,169599.9812
13.5,75.7,train,125419.6146
13.5,75.8,train,207143.0817
13.5,75.9,train,200751.6504
13.5,76,train,178926.007
13.5,76.1,train,193373.0713
13.5,76.2,train,149576.5574
13.5,76.3,train,173511.3948
13.5,76.4,train,76300.90718
13.5,76.5,train,186646.2378
13.5,76.6,train,240346.3927
13.5,76.7,train,197040.4989
13.5,76.8,train,205061.6805
13.5,76.9,train,26894.01015
13.5,77,train,203747.4711
13.5,77.1,train,145955.8874
13.5,77.2,train,222634.0099
13.5,77.3,train,265041.1315
13.5,77.4,train,286283.9749
13.5,77.5,train,157644.6252
13.5,77.6,train,148591.4227
13.5,77.7,train,267978.7183
13.5,77.8,train,136449.8597
13.5,77.9,train,243152.1507
13.5,78,train,45050.30141
13.5,78.1,train,139915.8216
13.5,78.2,train,338186.494
13.5,78.3,train,225034.5138
13.5,78.4,train,358330.6622
13.6,75,train,170904.5962
13.6,75.1,train,189573.9898
13.6,75.2,train,132995.1482
13.6,75.3,train,111673.9205
13.6,75.4,train,183053.3072
13.6,75.5,train,193994.2261
13.6,75.6,train,276698.2723
13.6,75.7,train,123113.1289
13.6,75.8,train,128131.3813
13.6,75.9,train,206744.3071
13.6,76,train,177255.1104
13.6,76.1,train,183119.8997
13.6,76.2,train,154663.0735
13.6,76.3,train,126203.0126
13.6,76.4,train,182743.7712
13.6,76.5,train,77013.96111
13.6,76.6,train,130868.9669
13.6,76.7,train,216016.9921
13.6,76.8,train,148447.0539
13.6,76.9,train,233501.3053
13.6,77,train,229533.775
13.6,77.1,train,428862.7848
13.6,77.2,train,393121.5384
13.6,77.3,train,143698.166
13.6,77.4,train,290276.7057
13.6,77.5,train,192776.8517
13.6,77.6,train,71461.34997
13.6,77.7,train,278999.1749
13.6,77.8,train,70579.13811
13.6,77.9,train,278247.2854
13.6,78,train,292168.9417
13.6,78.1,train,298218.9539
13.6,78.2,train,316140.402
13.6,78.3,train,359178.2005
13.6,78.4,train,349207.4432
13.7,75,train,193071.077
13.7,75.1,train,191762.8793
13.7,75.2,train,169824.0838
13.7,75.3,train,200282.812
13.7,75.4,train,204184.6711
13.7,75.5,train,154982.2202
13.7,75.6,train,63613.80944
13.7,75.7,train,217966.9845
13.7,75.8,train,225091.148
13.7,75.9,train,222921.6081
13.7,76,train,206222.7257
13.7,76.1,train,230060.066
13.7,76.2,train,184306.3259
13.7,76.3,train,185078.5911
13.7,76.4,train,193347.1039
13.7,76.5,train,215417.3356
13.7,76.6,train,131380.9479
13.7,76.7,train,141349.8935
13.7,76.8,train,181121.6928
13.7,76.9,train,258660.508
13.7,77,train,242438.8067
13.7,77.1,train,101382.2786
13.7,77.2,train,283906.6418
13.7,77.3,train,284746.0717
13.7,77.4,train,92576.80682
13.7,77.5,train,86940.04266
13.7,77.6,train,298147.057
13.7,77.7,train,318228.3385
13.7,77.8,train,166095.1063
13.7,77.9,train,307307.8808
13.7,78,train,244785.1598
13.7,78.1,train,105109.2524
